ship_city,ship_state,Category,transaction_count,total_sales,avg_order_value
(CHIKMAGALUR DISTERICT).     (N.R PUR THALUKU),KARNATAKA,KURTA,1,389,389.0
"(VIA CUNCOLIM)QUEPEM,SOUTH GOA",GOA,KURTA SET,1,1163,1163.0
",HYDERABAD",TELANGANA,KURTA SET,1,563,563.0
",RAIBARELY ROAD FAIZABAD (AYODHYA)",UTTAR PRADESH,SET,1,1122,1122.0
..KATRA,JAMMU AND KASHMIR,KURTA SET,1,641,641.0
.AZAMGARH,UTTAR PRADESH,KURTA SET,1,949,949.0
.GANNAVARAM,ANDHRA PRADESH,KURTA,1,832,832.0
1,UTTARAKHAND,KURTA,1,533,533.0
"116  B. P. M. B SARANI, UTTARPARA KOTRUNG",WEST BENGAL,KURTA SET,1,655,655.0
147/19 B KESHAB CHANDRA SEN STREET KOLKATA NINE MA,WEST BENGAL,KURTA,1,414.29,414.29
6TH MILE TADONG,SIKKIM,KURTA SET,1,698,698.0
7BARASAT,WEST BENGAL,KURTA,2,931,465.5
AALO,ARUNACHAL PRADESH,KURTA SET,1,1099,1099.0
AAMBY VALLEY,MAHARASHTRA,KURTA,4,1513,378.25
AAMBY VALLEY,MAHARASHTRA,KURTA SET,2,1157,578.5
AAMBY VALLEY,MAHARASHTRA,SET,1,486,486.0
ABHAYAPURI,ASSAM,KURTA SET,1,635,635.0
ABHAYAPURI,ASSAM,KURTA,1,399,399.0
"ABHAYAPURI, BONGAIGAON",ASSAM,KURTA,1,487,487.0
ABOHAR,PUNJAB,KURTA SET,3,2817,939.0
ABOHAR,PUNJAB,NIGHT WEAR,2,523,523.0
ABOHAR,PUNJAB,KURTA,1,399,399.0
ABOHAR,PUNJAB,SET,1,,
ABU ROAD,RAJASTHAN,SET,3,3407,1135.67
ABU ROAD,RAJASTHAN,KURTA,4,1960.29,490.07
ABU ROAD,RAJASTHAN,KURTA SET,1,825,825.0
ABU ROAD,RAJASTHAN,NIGHT WEAR,1,499,499.0
ABU ROAD,RAJASTHAN,TOP,1,354,354.0
ABUROAD,RAJASTHAN,KURTA,1,382,382.0
ACHALPUR,MAHARASHTRA,SET,1,464,464.0
ACHAMPET,TELANGANA,SET,4,4152,1038.0
ACHAMPET,TELANGANA,KURTA SET,2,1891,945.5
ACHAMPET,TELANGANA,KURTA,3,1426,475.33
ACHANTA,ANDHRA PRADESH,KURTA SET,1,542,542.0
ACHANTA,ANDHRA PRADESH,KURTA,1,349,349.0
ACHARAPAKKAM,TAMIL NADU,KURTA,1,523,523.0
ACHHNERA,UTTAR PRADESH,SET,1,1163,1163.0
"ADAJAN GAM, SURAT",GUJARAT,KURTA,1,486,486.0
ADALAJ,GUJARAT,DRESS,7,5222,746.0
ADALAJ,GUJARAT,KURTA SET,6,4617,923.4
ADALAJ,GUJARAT,KURTA,11,3928,436.44
ADALAJ,GUJARAT,SET,4,3014,753.5
ADALAJ,GUJARAT,LEHENGA CHOLI,1,1610,1610.0
ADALAJ,GUJARAT,TOP,2,1058,529.0
ADALAJ,GUJARAT,CROP TOP WITH PLAZZO,1,801,801.0
ADALAJ,GUJARAT,TUNIC,1,574,574.0
ADALAJ,GUJARAT,NIGHT WEAR,1,521,521.0
