ship_state,Category,transaction_count,category_sales,pct_of_state_sales
ANDAMAN AND NICOBAR ISLANDS,KURTA SET,74,54952.86,34.62
ANDAMAN AND NICOBAR ISLANDS,KURTA,110,51391.11,32.38
ANDAMAN AND NICOBAR ISLANDS,SET,38,32290.46,20.34
ANDAMAN AND NICOBAR ISLANDS,DRESS,9,6263.19,3.95
ANDAMAN AND NICOBAR ISLANDS,TOP,6,3574,2.25
ANDAMAN AND NICOBAR ISLANDS,CROP TOP,2,779,0.49
ANDAMAN AND NICOBAR ISLANDS,TUNIC,1,649,0.41
ANDAMAN AND NICOBAR ISLANDS,PANT,1,518,0.33
ANDHRA PRADESH,KURTA,2657,1174393.5,36.47
ANDHRA PRADESH,KURTA SET,1265,997195.17,30.97
ANDHRA PRADESH,SET,437,363382.14,11.28
ANDHRA PRADESH,DRESS,456,341773.86,10.61
ANDHRA PRADESH,TOP,132,73616.58,2.29
ANDHRA PRADESH,NIGHT WEAR,68,35159.53,1.09
ANDHRA PRADESH,LEHENGA CHOLI,23,27246.64,0.85
ANDHRA PRADESH,TUNIC,33,17871.67,0.55
ANDHRA PRADESH,BLOUSE,31,16563,0.51
ANDHRA PRADESH,CROP TOP WITH PLAZZO,5,3282,0.1
ANDHRA PRADESH,AN : LEGGINGS,11,3041.34,0.09
ANDHRA PRADESH,PALAZZO,7,2071.05,0.06
ANDHRA PRADESH,KURTI,3,1664,0.05
ANDHRA PRADESH,CROP TOP,4,1509,0.05
ANDHRA PRADESH,SAREE,2,885,0.03
ANDHRA PRADESH,JUMPSUIT,1,859,0.03
ARUNACHAL PRADESH,KURTA SET,41,33558.05,34.32
ARUNACHAL PRADESH,SET,20,16458.9,16.83
ARUNACHAL PRADESH,KURTA,29,16125.43,16.49
ARUNACHAL PRADESH,DRESS,12,9025.62,9.23
ARUNACHAL PRADESH,TOP,14,7604,7.78
ARUNACHAL PRADESH,NIGHT WEAR,1,560,0.57
ARUNACHAL PRADESH,PANT,1,518,0.53
ASSAM,KURTA SET,429,338229.9,33.22
ASSAM,KURTA,598,260748.49,25.61
ASSAM,SET,238,196945.1,19.34
ASSAM,DRESS,122,83245.81,8.18
ASSAM,TOP,81,38749,3.81
ASSAM,NIGHT WEAR,30,15733,1.55
ASSAM,TUNIC,21,11243.33,1.1
ASSAM,CROP TOP WITH PLAZZO,10,7408,0.73
ASSAM,BLOUSE,12,6068,0.6
ASSAM,PALAZZO,4,1095,0.11
ASSAM,KURTI,1,432,0.04
ASSAM,CROP TOP,1,360,0.04
BIHAR,KURTA SET,814,646864.09,45.69
BIHAR,KURTA,669,313132.67,22.12
BIHAR,SET,285,245169.17,17.32
BIHAR,DRESS,93,69435.19,4.9
BIHAR,TOP,76,38149.57,2.69
BIHAR,LEHENGA CHOLI,14,16516.89,1.17
BIHAR,NIGHT WEAR,27,13198.71,0.93
BIHAR,TUNIC,15,8171,0.58
BIHAR,BLOUSE,14,7512,0.53
BIHAR,PALAZZO,8,4542.88,0.32
BIHAR,SAREE,6,3990,0.28
BIHAR,CROP TOP WITH PLAZZO,2,1680,0.12
BIHAR,PANT,2,1030,0.07
BIHAR,CROP TOP,2,692,0.05
BIHAR,AN : LEGGINGS,3,530,0.04
CHANDIGARH,KURTA SET,72,58239.85,27.51
CHANDIGARH,KURTA,101,49346.0,23.3
CHANDIGARH,SET,55,41303.29,19.51
CHANDIGARH,TOP,36,19325.81,9.13
CHANDIGARH,DRESS,14,9228.67,4.36
CHANDIGARH,NIGHT WEAR,17,8430,3.98
CHANDIGARH,CROP TOP WITH PLAZZO,6,5154,2.43
CHANDIGARH,TUNIC,8,4611,2.18
CHANDIGARH,LEHENGA CHOLI,1,1603,0.76
CHANDIGARH,KURTI,1,801,0.38
CHANDIGARH,BLOUSE,1,377,0.18
CHANDIGARH,PALAZZO,1,360,0.17
CHANDIGARH,AN : LEGGINGS,1,229,0.11
CHHATTISGARH,KURTA SET,298,237912.15,41.7
CHHATTISGARH,KURTA,354,165238.96,28.96
CHHATTISGARH,SET,95,74840.98,13.12
CHHATTISGARH,DRESS,38,25764.76,4.52
CHHATTISGARH,TOP,33,15848.05,2.78
CHHATTISGARH,NIGHT WEAR,19,9006.67,1.58
CHHATTISGARH,TUNIC,12,6188,1.08
CHHATTISGARH,CROP TOP WITH PLAZZO,4,3306,0.58
CHHATTISGARH,BLOUSE,6,2713.24,0.48
CHHATTISGARH,LEHENGA CHOLI,1,1695,0.3
CHHATTISGARH,SAREE,1,885,0.16
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,KURTA SET,19,12983,30.81
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,SET,14,11508.02,27.31
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,KURTA,25,10691,25.37
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DRESS,2,1718,4.08
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,NIGHT WEAR,2,1195,2.84
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,TOP,4,1162,2.76
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,CROP TOP WITH PLAZZO,1,801,1.9
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,TUNIC,1,388,0.92
DELHI,KURTA SET,1918,1475549.11,33.58
DELHI,KURTA,2245,1007990.62,22.94
DELHI,SET,922,746104.02,16.98
DELHI,DRESS,540,400441.34,9.11
DELHI,TOP,613,311635.63,7.09
DELHI,NIGHT WEAR,200,103202.56,2.35
DELHI,TUNIC,93,53327.38,1.21
DELHI,CROP TOP WITH PLAZZO,51,41110.65,0.94
DELHI,LEHENGA CHOLI,23,26366.24,0.6
DELHI,BLOUSE,44,19819,0.45
DELHI,SAREE,11,6923,0.16
DELHI,CROP TOP,11,3917,0.09
DELHI,PANT,7,3409,0.08
DELHI,PALAZZO,6,2072,0.05
DELHI,JUMPSUIT,1,859,0.02
DELHI,KURTI,1,406,0.01
DELHI,CARDIGAN,1,534,0.01
DELHI,BOTTOM,1,349,0.01
GOA,KURTA,503,222219.82,34.85
GOA,KURTA SET,238,168509.1,26.43
GOA,SET,93,79155.79,12.41
GOA,DRESS,85,57628.57,9.04
GOA,TOP,85,38715.81,6.07
GOA,TUNIC,17,9079,1.42
GOA,NIGHT WEAR,12,6093,0.96
GOA,SAREE,4,3560.19,0.56
GOA,CROP TOP WITH PLAZZO,4,3335,0.52
GOA,LEHENGA CHOLI,2,3244,0.51
GOA,BLOUSE,7,3125,0.49
GOA,PANT,3,1554,0.24
GOA,PALAZZO,1,345,0.05
GUJARAT,KURTA SET,1002,747283.52,27.39
GUJARAT,KURTA,1595,740855.58,27.15
GUJARAT,SET,511,411854.84,15.09
GUJARAT,DRESS,526,382912.92,14.03
GUJARAT,TOP,306,155022.06,5.68
GUJARAT,NIGHT WEAR,107,51061.36,1.87
GUJARAT,TUNIC,84,45513.84,1.67
GUJARAT,CROP TOP WITH PLAZZO,33,25238.42,0.92
GUJARAT,LEHENGA CHOLI,18,17785,0.65
GUJARAT,BLOUSE,23,10835,0.4
GUJARAT,PALAZZO,9,3184,0.12
GUJARAT,CROP TOP,7,2715,0.1
GUJARAT,SAREE,2,1779,0.07
GUJARAT,PANT,4,1308.34,0.05
GUJARAT,AN : LEGGINGS,3,1116,0.04
GUJARAT,KURTI,1,852,0.03
HARYANA,KURTA SET,1176,945040.93,32.79
HARYANA,KURTA,1218,557710.31,19.35
HARYANA,SET,603,515102.07,17.87
HARYANA,DRESS,406,306572.76,10.64
HARYANA,TOP,451,239089.05,8.3
HARYANA,NIGHT WEAR,157,78598.2,2.73
HARYANA,TUNIC,76,43732.43,1.52
HARYANA,LEHENGA CHOLI,21,24584,0.85
HARYANA,CROP TOP WITH PLAZZO,25,20308,0.7
HARYANA,BLOUSE,28,11915,0.41
HARYANA,SAREE,6,4773.19,0.17
HARYANA,PALAZZO,10,2704,0.09
HARYANA,CROP TOP,5,1903,0.07
HARYANA,PANT,3,1086,0.04
HARYANA,KURTI,1,432,0.01
HARYANA,AN : LEGGINGS,1,301,0.01
HIMACHAL PRADESH,KURTA SET,274,207465.52,41.22
HIMACHAL PRADESH,SET,139,116685.65,23.18
HIMACHAL PRADESH,KURTA,265,115699.1,22.99
HIMACHAL PRADESH,DRESS,22,17745.66,3.53
HIMACHAL PRADESH,TOP,26,12555,2.49
HIMACHAL PRADESH,NIGHT WEAR,18,9739.91,1.93
HIMACHAL PRADESH,TUNIC,5,3372,0.67
HIMACHAL PRADESH,BLOUSE,4,1861,0.37
HIMACHAL PRADESH,CROP TOP WITH PLAZZO,2,1697,0.34
HIMACHAL PRADESH,CARDIGAN,3,1068,0.21
HIMACHAL PRADESH,LEHENGA CHOLI,1,999,0.2
HIMACHAL PRADESH,CROP TOP,1,399,0.08
HIMACHAL PRADESH,PALAZZO,1,331,0.07
HIMACHAL PRADESH,PANT,1,286.67,0.06
JAMMU AND KASHMIR,KURTA SET,226,173753.28,38.03
JAMMU AND KASHMIR,SET,119,103910.48,22.74
JAMMU AND KASHMIR,KURTA,225,101692.48,22.26
JAMMU AND KASHMIR,DRESS,29,19820.66,4.34
JAMMU AND KASHMIR,TOP,31,13982.81,3.06
JAMMU AND KASHMIR,NIGHT WEAR,20,10690.81,2.34
JAMMU AND KASHMIR,LEHENGA CHOLI,2,3144,0.69
JAMMU AND KASHMIR,TUNIC,5,2311,0.51
JAMMU AND KASHMIR,CROP TOP WITH PLAZZO,2,1690,0.37
JAMMU AND KASHMIR,PANT,2,819,0.18
JAMMU AND KASHMIR,PALAZZO,2,733,0.16
JAMMU AND KASHMIR,BLOUSE,1,493,0.11
JAMMU AND KASHMIR,AN : LEGGINGS,1,301,0.07
JHARKHAND,KURTA SET,490,371665.61,40.44
JHARKHAND,KURTA,515,234470.58,25.51
JHARKHAND,SET,183,151016.74,16.43
JHARKHAND,DRESS,73,54177.71,5.89
JHARKHAND,TOP,66,33987.29,3.7
JHARKHAND,NIGHT WEAR,22,11860.38,1.29
JHARKHAND,LEHENGA CHOLI,7,7718.78,0.84
JHARKHAND,BLOUSE,12,7010.57,0.76
JHARKHAND,TUNIC,13,6883,0.75
JHARKHAND,CROP TOP WITH PLAZZO,6,4989,0.54
JHARKHAND,PANT,4,2072,0.23
JHARKHAND,PALAZZO,3,1050,0.11
KARNATAKA,KURTA SET,4306,3327555.87,31.75
KARNATAKA,KURTA,6965,3149796.69,30.05
