ship_city,ship_state,transaction_count,total_sales,avg_order_value
BENGALURU,KARNATAKA,11898,7257748.8,640.92
HYDERABAD,TELANGANA,9092,5579520.35,651.89
MUMBAI,MAHARASHTRA,7122,4293210.16,630.52
NEW DELHI,DELHI,6340,3952690.2,661.54
CHENNAI,TAMIL NADU,6284,3606917.94,605.29
PUNE,MAHARASHTRA,4617,2794975.79,638.12
KOLKATA,WEST BENGAL,2844,1682046.99,628.1
GURUGRAM,HARYANA,1954,1280854.78,686.05
THANE,MAHARASHTRA,1877,1111506.35,626.55
LUCKNOW,UTTAR PRADESH,1627,1049983.1,691.69
NOIDA,UTTAR PRADESH,1627,1037799.01,673.9
GHAZIABAD,UTTAR PRADESH,1485,938153.46,666.3
AHMEDABAD,GUJARAT,1450,900337.56,650.06
NAVI MUMBAI,MAHARASHTRA,1403,838220.91,638.4
BANGALORE,KARNATAKA,1362,825152.35,633.76
JAIPUR,RAJASTHAN,1062,668258.36,679.12
PATNA,BIHAR,816,533140.43,704.28
FARIDABAD,HARYANA,820,531871.02,679.27
VISAKHAPATNAM,ANDHRA PRADESH,858,510478.09,634.92
BHUBANESWAR,ODISHA,780,508396.87,689.82
COIMBATORE,TAMIL NADU,891,492657.93,592.14
NAGPUR,MAHARASHTRA,732,444475.51,644.17
GUWAHATI,ASSAM,740,444421.65,641.3
VADODARA,GUJARAT,710,444270.22,664.08
PIMPRI CHINCHWAD,MAHARASHTRA,754,434969.39,612.63
DEHRADUN,UTTARAKHAND,633,402632.48,675.56
THIRUVANANTHAPURAM,KERALA,679,388123.86,604.55
GREATER NOIDA,UTTAR PRADESH,564,381913.72,716.54
SECUNDERABAD,TELANGANA,619,374647.95,644.83
KANPUR,UTTAR PRADESH,541,347049.69,683.17
