year_month,transaction_count,total_sales,avg_order_value,total_quantity
2021-06,1334,1976466,1481.60869565217,2866
2021-07,2594,1687102,650.386276021588,2656
2021-08,2069,2299365,1111.34122764621,3769
2021-09,2992,2588678,865.19986631016,3608
2021-10,6196,5730268,924.833440929632,9244
2021-11,3632,2756208,758.867841409692,4044
2021-12,2068,1604836,776.032882011605,2120
2022-01,2284,1827376,800.077057793345,2544
2022-02,6748,4826092,715.188500296384,8268
2022-03,4695,3514631.85,750.028137003841,5830
2022-04,49067,28838708.32,626.0030459321,44206
2022-05,42040,26226476.75,663.356858306354,38011
2022-06,37697,23425809.38,661.484423674253,34276
