month_number,month_name,transaction_count,total_sales,avg_order_value
01,January,2284,1827376,800.077057793345
02,February,6748,4826092,715.188500296384
03,March,4695,3514631.85,750.028137003841
04,April,49067,28838708.32,626.0030459321
05,May,42040,26226476.75,663.356858306354
06,June,39031,25402275.38,691.255997061064
07,July,2594,1687102,650.386276021588
08,August,2069,2299365,1111.34122764621
09,September,2992,2588678,865.19986631016
10,October,6196,5730268,924.833440929632
11,November,3632,2756208,758.867841409692
12,December,2068,1604836,776.032882011605
